	분류	단어			카테고리	"증상, 대응방법, 효과, 성분"				
1	효과	증상완화								
2	성분	영양제			바로수정단어	가슴무근거림				ver1
3	증상	갱년기증상				체중증가				42
4	성분	에스트로겐				자궁근종				엑셀 ver1
5	증상	폐경				면역력향상				45
6	성분	석류				닥터다니엘 파이토젠퀀플러스				
7	증상	호르몬								단어 추가
8	증상	불면증								250개까지 가능
9	증상	폐경기								
10	성분	식품								
11	성분	백수오								
12	성분	유산균								
13	성분	갱년기영양제								
14	증상	우울증								
15	증상	생리								
16	증상	골다공증								
17	증상	안면홍조								
18	성분	추출물								
19	성분	홍삼								
20	성분	비타민								
21	성분	이소플라본								
22	성분	루바브								
23	증상	호르몬분비								
24	증상	탈모								
25	성분	회화나무열매	회화나무열매							
26	증상	열감								
27	대응	의원			보고서 한의원 		보고서 언급 		보고서내 월경 생리로 변경 언급	
28	증상	복용								
29	증상	부작용								
30	증상	혈액순환	확인		혈액순환					
31	증상	요실금								
32	성분	보스웰리아								
33	성분	식물성에스트로겐								
34	증상	생리불순			생리불순으로 변경					
35	증상	우울증								
36	성분	갱년기유산균								
37	성분	칼슘								
38	대응	항산화								
39	증상	면역력								
40	성분	감마리놀렌산								
41	증상	스트레스								
42	증상	생리통								
43	대응	산부인과								
44	성분	콜라겐								
45	증상	질건조증		질건조증						
